distance covered,degrees from top of map,rad,currX,currY
0.0,-127.171719025,0,7065.0,1787.0
0.0,-123.254973126,0,7065.0,1787.0
0.0,-123.378564133,0,7065.0,1787.0
0.0,-123.291132364,0,7065.0,1787.0
0.0,-123.191147794,0,7065.0,1787.0
0.0,-123.227974727,0,7065.0,1787.0
0.0,-123.028782907,0,7065.0,1787.0
0.0,-123.135420256,0,7065.0,1787.0
0.0,-123.221048269,0,7065.0,1787.0
0.0,-123.194782221,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262348671,0,7065.0,1787.0
0.0,-123.262313005,0,7065.0,1787.0
0.0,-123.262277287,0,7065.0,1787.0
0.0,-123.262241517,0,7065.0,1787.0
0.0,-123.262205695,0,7065.0,1787.0
0.0,-123.262169823,0,7065.0,1787.0
0.0,-123.262133898,0,7065.0,1787.0
0.0,-123.262097922,0,7065.0,1787.0
0.0,-123.262061895,0,7065.0,1787.0
0.0,-123.262025815,0,7065.0,1787.0
0.0,-123.261989685,0,7065.0,1787.0
0.0,-123.261953502,0,7065.0,1787.0
0.0,-123.261917269,0,7065.0,1787.0
0.0,-123.261880983,0,7065.0,1787.0
0.0,-123.261844646,0,7065.0,1787.0
0.0,-123.261808258,0,7065.0,1787.0
0.0,-123.261771817,0,7065.0,1787.0
0.0,-123.261735326,0,7065.0,1787.0
0.0,-123.261698783,0,7065.0,1787.0
0.0,-123.261662188,0,7065.0,1787.0
0.0,-123.261625541,0,7065.0,1787.0
0.0,-123.261588843,0,7065.0,1787.0
0.0,-123.261552094,0,7065.0,1787.0
0.0,-123.261515293,0,7065.0,1787.0
0.0,-123.26147844,0,7065.0,1787.0
0.0,-123.261441536,0,7065.0,1787.0
0.0,-123.26140458,0,7065.0,1787.0
0.0,-123.261367573,0,7065.0,1787.0
0.0,-123.261330514,0,7065.0,1787.0
0.0,-123.261293403,0,7065.0,1787.0
0.0,-123.261256241,0,7065.0,1787.0
0.0,-123.261219028,0,7065.0,1787.0
0.0,-123.261181763,0,7065.0,1787.0
0.0,-123.261144446,0,7065.0,1787.0
0.0,-123.261107078,0,7065.0,1787.0
0.0,-123.261069658,0,7065.0,1787.0
0.0,-123.261032186,0,7065.0,1787.0
0.0,-123.260994663,0,7065.0,1787.0
0.0,-123.260957089,0,7065.0,1787.0
0.0,-123.260919463,0,7065.0,1787.0
0.0,-123.260881785,0,7065.0,1787.0
0.0,-123.260844056,0,7065.0,1787.0
0.0,-123.260806275,0,7065.0,1787.0
0.0,-123.260768442,0,7065.0,1787.0
0.0,-123.260730558,0,7065.0,1787.0
0.0,-123.260692623,0,7065.0,1787.0
0.0,-123.260654636,0,7065.0,1787.0
0.0,-123.260616597,0,7065.0,1787.0
